,src_ip,src_port,dst_ip,dst_port,protocol,bidirectional_packets,bidirectional_bytes,application_name
22578,0.0.144.101,0,121.166.231.243,0,107,1,1228,Unknown
22579,0.0.144.101,0,116.34.231.233,0,107,1,1237,Unknown
22580,0.0.144.120,0,158.210.84.2,0,107,1,122,Unknown
22581,0.0.144.101,0,114.251.231.231,0,107,1,1217,Unknown
22582,0.0.144.101,0,119.178.231.240,0,107,1,1228,Unknown
22583,0.0.144.101,0,124.229.231.249,0,107,1,1202,Unknown
22584,0.0.144.101,0,120.159.231.241,0,107,1,1221,Unknown
22585,0.0.144.101,0,121.173.231.243,0,107,1,1228,Unknown
22586,0.0.144.101,0,116.41.231.233,0,107,1,1237,Unknown
22587,0.0.144.101,0,120.166.231.241,0,107,1,1199,Unknown
22588,0.0.144.120,0,158.167.84.2,0,107,1,146,Unknown
22589,0.0.144.101,0,119.185.231.240,0,107,1,1233,Unknown
22590,0.0.144.101,0,124.236.231.249,0,107,1,1203,Unknown
22591,0.0.144.96,0,61.32.0.0,0,107,1,288,Unknown
22592,0.0.144.120,0,156.83.83.249,0,107,1,109,Unknown
22593,0.0.144.101,0,116.48.231.233,0,107,1,1224,Unknown
22594,0.0.144.101,0,120.173.231.241,0,107,1,1199,Unknown
22595,0.0.144.101,0,115.4.231.231,0,107,1,1188,Unknown
22596,0.0.144.101,0,124.243.231.249,0,107,1,1203,Unknown
22597,0.0.144.101,0,119.192.231.240,0,107,1,1233,Unknown
22598,0.0.144.96,0,61.39.0.0,0,107,1,288,Unknown
22599,0.0.144.101,0,124.250.231.249,0,107,1,1211,Unknown
22600,0.0.144.101,0,116.55.231.233,0,107,1,1225,Unknown
22601,0.0.144.120,0,157.193.83.254,0,107,1,142,Unknown
22602,0.0.144.101,0,115.11.231.231,0,107,1,1189,Unknown
22603,0.0.144.101,0,124.76.231.248,0,107,1,1221,Unknown
22604,0.0.144.120,0,157.138.83.254,0,107,1,128,Unknown
22605,0.0.144.96,0,61.46.0.0,0,107,1,288,Unknown
22606,0.0.144.101,0,125.3.231.249,0,107,1,1211,Unknown
22607,0.0.144.101,0,116.62.231.233,0,107,1,1225,Unknown
22608,0.0.144.101,0,121.180.231.243,0,107,1,1239,Unknown
22609,0.0.144.101,0,115.18.231.231,0,107,1,1189,Unknown
22610,0.0.144.101,0,124.90.231.248,0,107,1,1187,Unknown
22611,0.0.144.101,0,120.180.231.241,0,107,1,1200,Unknown
22612,0.0.144.101,0,119.199.231.240,0,107,1,1233,Unknown
22613,0.0.144.101,0,125.10.231.249,0,107,1,1191,Unknown
